temperature,humidity,datetime
24.0,40.0,2022-10-22 18:10:23.267219
24.0,40.0,2022-10-22 18:10:23.793023
24.0,40.0,2022-10-22 18:10:24.318615
24.0,40.0,2022-10-22 18:10:27.375082
24.0,40.0,2022-10-22 18:10:27.900988
24.0,40.0,2022-10-22 18:10:28.426877
24.0,40.0,2022-10-22 18:10:28.952711
24.0,40.0,2022-10-22 18:10:29.478534
24.0,40.0,2022-10-22 18:10:30.004354
24.0,40.0,2022-10-22 18:10:30.530152
24.0,40.0,2022-10-22 18:10:31.056151
24.0,40.0,2022-10-22 18:10:31.582012
24.0,40.0,2022-10-22 18:10:32.107859
24.0,40.0,2022-10-22 18:10:32.633963
24.0,40.0,2022-10-22 18:10:33.159874
24.0,40.0,2022-10-22 18:10:33.685346
24.0,40.0,2022-10-22 18:10:34.211197
24.0,40.0,2022-10-22 18:10:34.737041
24.0,40.0,2022-10-22 18:10:35.262894
24.0,40.0,2022-10-22 18:10:35.788691
24.0,40.0,2022-10-22 18:10:36.314312
24.0,40.0,2022-10-22 18:10:36.839876
24.0,39.0,2022-10-22 18:10:42.424133
24.0,40.0,2022-10-22 18:10:42.949956
24.0,40.0,2022-10-22 18:10:43.475745
24.0,40.0,2022-10-22 18:10:44.001590
24.0,40.0,2022-10-22 18:10:44.527442
24.0,40.0,2022-10-22 18:10:45.053258
24.0,40.0,2022-10-22 18:10:45.579054
24.0,40.0,2022-10-22 18:10:46.104853
24.0,40.0,2022-10-22 18:10:46.630659
24.0,40.0,2022-10-22 18:10:47.156537
24.0,40.0,2022-10-22 18:10:47.682637
24.0,40.0,2022-10-22 18:10:48.208441
24.0,40.0,2022-10-22 18:10:48.734230
24.0,40.0,2022-10-22 18:10:49.260065
24.0,39.0,2022-10-22 18:10:52.316777
24.0,40.0,2022-10-22 18:10:52.842570
24.0,40.0,2022-10-22 18:10:53.368381
24.0,40.0,2022-10-22 18:10:53.894214
24.0,40.0,2022-10-22 18:10:54.420081
24.0,40.0,2022-10-22 18:10:54.945867
24.0,40.0,2022-10-22 18:10:55.471667
24.0,40.0,2022-10-22 18:10:55.997504
24.0,40.0,2022-10-22 18:10:56.523302
24.0,40.0,2022-10-22 18:10:57.049117
24.0,39.0,2022-10-22 18:11:00.105672
24.0,39.0,2022-10-22 18:11:00.631496
24.0,40.0,2022-10-22 18:11:01.157120
24.0,40.0,2022-10-22 18:11:01.682733
24.0,40.0,2022-10-22 18:11:02.208627
24.0,40.0,2022-10-22 18:11:02.734417
24.0,40.0,2022-10-22 18:11:03.260237
24.0,40.0,2022-10-22 18:11:03.786096
24.0,40.0,2022-10-22 18:11:04.311905
24.0,40.0,2022-10-22 18:11:04.837721
24.0,40.0,2022-10-22 18:11:05.363538
24.0,40.0,2022-10-22 18:11:05.889341
24.0,40.0,2022-10-22 18:11:06.415160
24.0,39.0,2022-10-22 18:11:06.941006
24.0,39.0,2022-10-22 18:11:07.466974
24.0,39.0,2022-10-22 18:11:10.525367
24.0,39.0,2022-10-22 18:11:11.051190
24.0,39.0,2022-10-22 18:11:11.577110
24.0,39.0,2022-10-22 18:11:12.102964
24.0,39.0,2022-10-22 18:11:12.628814
24.0,39.0,2022-10-22 18:11:13.154664
24.0,39.0,2022-10-22 18:11:13.680540
24.0,39.0,2022-10-22 18:11:14.206491
24.0,39.0,2022-10-22 18:11:14.732350
24.0,39.0,2022-10-22 18:11:15.258266
24.0,39.0,2022-10-22 18:11:15.784095
24.0,39.0,2022-10-22 18:11:16.309974
24.0,39.0,2022-10-22 18:11:16.836240
24.0,39.0,2022-10-22 18:11:19.893245
24.0,39.0,2022-10-22 18:11:20.419139
24.0,39.0,2022-10-22 18:11:20.944982
24.0,39.0,2022-10-22 18:11:21.470841
24.0,39.0,2022-10-22 18:11:21.996753
24.0,39.0,2022-10-22 18:11:22.522682
24.0,39.0,2022-10-22 18:11:23.048613
24.0,39.0,2022-10-22 18:11:23.574568
24.0,39.0,2022-10-22 18:11:24.100407
24.0,39.0,2022-10-22 18:11:24.626155
24.0,39.0,2022-10-22 18:11:25.152040
24.0,39.0,2022-10-22 18:11:25.677916
24.0,39.0,2022-10-22 18:11:26.203801
24.0,39.0,2022-10-22 18:11:26.729642
24.0,39.0,2022-10-22 18:11:27.255499
24.0,39.0,2022-10-22 18:11:27.781336
24.0,39.0,2022-10-22 18:11:28.307235
24.0,39.0,2022-10-22 18:11:28.833090
24.0,39.0,2022-10-22 18:11:29.358943
24.0,39.0,2022-10-22 18:11:29.884784
24.0,39.0,2022-10-22 18:11:30.410672
24.0,39.0,2022-10-22 18:11:30.936615
24.0,39.0,2022-10-22 18:11:31.462499
24.0,39.0,2022-10-22 18:11:31.988358
24.0,39.0,2022-10-22 18:11:32.514230
24.0,39.0,2022-10-22 18:11:33.040112
